Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-03-07 00:00:00+00:00,-0.09,-0.08,-0.105,0.105,0.04,-0.34,-0.14,-0.08,-0.065,-0.05,-0.045,-0.015,-0.03,-0.03,-0.02
2006-03-08 00:00:00+00:00,-0.085,-0.08,-0.11,0.11,0.04,-0.345,-0.14,-0.085,-0.06,-0.05,-0.055,-0.015,-0.02,-0.025,-0.04
2006-03-09 00:00:00+00:00,-0.085,-0.08,-0.1,0.1,0.04,-0.35,-0.14,-0.08,-0.055,-0.045,-0.045,-0.015,-0.035,-0.025,-0.025
2006-03-10 00:00:00+00:00,-0.085,-0.075,-0.115,0.115,0.04,-0.365,-0.155,-0.085,-0.06,-0.045,-0.045,-0.02,-0.03,-0.03,-0.035
2006-03-13 00:00:00+00:00,-0.095,-0.09,-0.105,0.125,0.04,-0.375,-0.16,-0.09,-0.065,-0.05,-0.045,-0.015,-0.03,-0.025,-0.04
2006-03-14 00:00:00+00:00,-0.085,-0.1,-0.015,0.125,-0.305,-0.15,-0.075,-0.06,-0.045,-0.045,-0.01,-0.04,-0.03,-0.035,-0.015
2006-03-15 00:00:00+00:00,-0.09,-0.105,-0.01,0.125,-0.335,-0.16,-0.08,-0.065,-0.05,-0.04,-0.02,-0.025,-0.025,-0.04,-0.01
2006-03-16 00:00:00+00:00,-0.09,-0.105,-0.005,0.125,-0.325,-0.145,-0.09,-0.065,-0.035,-0.04,-0.02,-0.015,-0.03,-0.03,-0.04
2006-03-17 00:00:00+00:00,-0.1,-0.115,0.03,0.125,-0.375,-0.155,-0.085,-0.06,-0.045,-0.03,-0.01,-0.025,-0.02,-0.035,-0.01
2006-03-20 00:00:00+00:00,-0.095,-0.105,0.02,0.125,-0.35,-0.155,-0.085,-0.055,-0.04,-0.04,-0.01,-0.025,-0.02,-0.045,-0.01
2006-03-21 00:00:00+00:00,-0.105,-0.095,0.025,0.125,-0.36,-0.15,-0.08,-0.055,-0.035,-0.035,-0.015,-0.035,-0.015,-0.05,-0.005
2006-03-22 00:00:00+00:00,-0.11,-0.09,0.02,0.125,-0.35,-0.155,-0.075,-0.055,-0.035,-0.035,-0.01,-0.02,-0.025,-0.035,-0.005
